nohup: ignoring input
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
221.216.47.36 - - [04/Jun/2015 15:38:59] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:59] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:59] "GET /static/img/thumbs/square/f6bf7c43c5a926f9b0683b02e53057f8ee66508c.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:59] "GET /static/img/thumbs/square/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:59] "GET /static/img/thumbs/square/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/0fa9d93ac1f08e6b3ba0c571293fb491194375d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/a69a0f3b8854591daf7a3a68f6de8610fe8769d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/37ec3b3e9c7655cd81a1f16bc5d48f7f108cfcbb.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/219f40c0050e391f9f7828a0f73a74d1767d0adf.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/1b6381103e3a926d5cb6fce2b8238d9f88777070.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/6b6cfcb071e2b901185a0922c0af4a766ac22e7d.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/f925eaad195d1a135b43dc85ee9bbb361b560dc0.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/d0649328496720abeebe2882d8ab82f581867050.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/7e44e195421754215579395a897e79466841f938.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:00] "GET /static/img/thumbs/square/a05a3fbbf321b94b70e08a94b2ddea2e3d401935.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:01] "GET /static/img/thumbs/square/04f198e8c9718081f194a1884341238b77e3de0c.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:01] "GET /static/img/thumbs/square/7435233b63ad23279ae826eaf002bcf955457b6c.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:01] "GET /static/img/thumbs/square/ab43438002a759595e680254b0b67e32cd7c3553.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:01] "GET /static/img/thumbs/square/380801c28b3454f0888c06ea5e33b7ce57320c9f.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:01] "GET /static/img/thumbs/square/22e61da9a98c60e59f82ea5670e1667a95be43fc.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:01] "GET /static/img/thumbs/square/16db20e91ebcb30952602b706598ba844f03c338.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:01] "GET /static/img/thumbs/square/e85d7befaa2cd68f75a653852c244a8ab92929e7.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:39:12] "GET /item_detail/78bbc0d36c2cab0d0146030c1f1f9488 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:39:13] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:39:13] "GET /static/img/thumbs/big/65c2a33bcc5878394cf111f00c046985d8f82f7a.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:39:13] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:39:40] "GET /item_detail/0162913d44c9a627d1d174d46a04301e HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:39:41] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:39:41] "GET /static/img/thumbs/big/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:39:41] "GET /static/img/thumbs/big/d15dbb7a9402d64661e3580a5fd812a337aa0af1.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:39:41] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:40:14] "GET /item_detail/78bbc0d36c2cab0d0146030c1f1f9488 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:40:14] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:40:14] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:40:26] "GET /item_detail/0162913d44c9a627d1d174d46a04301e HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:40:27] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:40:27] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:40:27] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:40:27] "GET /static/img/thumbs/big/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:40:27] "GET /static/img/thumbs/big/d15dbb7a9402d64661e3580a5fd812a337aa0af1.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:40:28] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:40:28] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:40:56] "GET /item_detail/78bbc0d36c2cab0d0146030c1f1f9488 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:40:56] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:40:56] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:40:57] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:47:48] "GET /list_item?category=lego HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:47:48] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:48] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:48] "GET /static/img/thumbs/square/f6bf7c43c5a926f9b0683b02e53057f8ee66508c.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:49] "GET /static/img/thumbs/square/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:49] "GET /static/img/thumbs/square/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/0fa9d93ac1f08e6b3ba0c571293fb491194375d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/1b6381103e3a926d5cb6fce2b8238d9f88777070.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/a69a0f3b8854591daf7a3a68f6de8610fe8769d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/a05a3fbbf321b94b70e08a94b2ddea2e3d401935.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/739931b9feaa89452be76a1fa7c68f53404e21be.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/6d78fe3de0beee2cb409e5edd8a5d4302eaee009.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/db5d955a9ec60402b8b4180505b5391e9d80399d.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/c97de6734e2a05863155c2e891d8e2000274eb87.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/f925eaad195d1a135b43dc85ee9bbb361b560dc0.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/2a73b3c3bde7e2613d447d9aed1d7fc31c4a8c5e.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:47:50] "GET /static/img/thumbs/square/e85d7befaa2cd68f75a653852c244a8ab92929e7.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:51] "GET /static/img/thumbs/square/2e089f851ac4ec949bf4010c9b20a75ea711f620.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:47:51] "GET /static/img/thumbs/square/c47ed006c0e0beffa2c30b49977f019f419f3012.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:47:51] "GET /static/img/thumbs/square/80fefa2b8335f9a0c696de8743cc5eb68f22c0f4.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:47:51] "GET /static/img/thumbs/square/22e61da9a98c60e59f82ea5670e1667a95be43fc.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:47:51] "GET /static/img/thumbs/square/a1f211e007cabd14d70478a545a9057af4ea3375.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:47:51] "GET /static/img/thumbs/square/7015d84fb7e67fe34e4d70ba4d01931046ebe7df.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:26] "GET /list_item?category=lego HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/img/thumbs/square/f6bf7c43c5a926f9b0683b02e53057f8ee66508c.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/img/thumbs/square/db5d955a9ec60402b8b4180505b5391e9d80399d.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/img/thumbs/square/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/img/thumbs/square/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/img/thumbs/square/0fa9d93ac1f08e6b3ba0c571293fb491194375d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/img/thumbs/square/6d78fe3de0beee2cb409e5edd8a5d4302eaee009.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:27] "GET /static/img/thumbs/square/a69a0f3b8854591daf7a3a68f6de8610fe8769d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/35d19bef7d0739228035cedfe161044e0dfb3260.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/8396b80e83f728b379cc0093ee56efb2c21ddaf5.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/a05a3fbbf321b94b70e08a94b2ddea2e3d401935.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/739931b9feaa89452be76a1fa7c68f53404e21be.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/e85d7befaa2cd68f75a653852c244a8ab92929e7.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/2e089f851ac4ec949bf4010c9b20a75ea711f620.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/c47ed006c0e0beffa2c30b49977f019f419f3012.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/22e61da9a98c60e59f82ea5670e1667a95be43fc.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/a1f211e007cabd14d70478a545a9057af4ea3375.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/1b6381103e3a926d5cb6fce2b8238d9f88777070.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/f925eaad195d1a135b43dc85ee9bbb361b560dc0.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:28] "GET /static/img/thumbs/square/2a73b3c3bde7e2613d447d9aed1d7fc31c4a8c5e.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:29] "GET /static/img/thumbs/square/c97de6734e2a05863155c2e891d8e2000274eb87.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:04:38] "GET /item_detail/78bbc0d36c2cab0d0146030c1f1f9488 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:04:39] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:04:39] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:16] "GET /list_item?category=lego HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/img/thumbs/square/f6bf7c43c5a926f9b0683b02e53057f8ee66508c.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/img/thumbs/square/db5d955a9ec60402b8b4180505b5391e9d80399d.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/img/thumbs/square/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/img/thumbs/square/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/img/thumbs/square/6d78fe3de0beee2cb409e5edd8a5d4302eaee009.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/img/thumbs/square/0fa9d93ac1f08e6b3ba0c571293fb491194375d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:17] "GET /static/img/thumbs/square/a69a0f3b8854591daf7a3a68f6de8610fe8769d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/1b6381103e3a926d5cb6fce2b8238d9f88777070.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/a05a3fbbf321b94b70e08a94b2ddea2e3d401935.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/35d19bef7d0739228035cedfe161044e0dfb3260.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/8396b80e83f728b379cc0093ee56efb2c21ddaf5.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/739931b9feaa89452be76a1fa7c68f53404e21be.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/c97de6734e2a05863155c2e891d8e2000274eb87.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/2a73b3c3bde7e2613d447d9aed1d7fc31c4a8c5e.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/f925eaad195d1a135b43dc85ee9bbb361b560dc0.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/e85d7befaa2cd68f75a653852c244a8ab92929e7.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/2e089f851ac4ec949bf4010c9b20a75ea711f620.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/c47ed006c0e0beffa2c30b49977f019f419f3012.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/22e61da9a98c60e59f82ea5670e1667a95be43fc.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:05:18] "GET /static/img/thumbs/square/a1f211e007cabd14d70478a545a9057af4ea3375.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:21] "GET /item_detail/41ef3945bdf7eb5f88aeb1c792a2d410 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:05:22] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:22] "GET /static/img/thumbs/big/a6a36164774fc8eb83887f2b49f8e612b7b8832a.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:05:22] "GET /static/img/thumbs/big/04e7be3ede5198af667e541b508e2a3fd22e65f3.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:05:22] "GET /static/img/thumbs/big/cda2aa09c3085865d31a1cac343143991166b86b.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:05:22] "GET /static/img/thumbs/big/0733b42a46bcfd86fe503f6e29980f63c69bc746.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:05:22] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:32] "GET /item_detail/add9c6b6da4f0fe894c6f6f4ca894ef9 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:05:33] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:05:33] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:11:31] "GET /item_detail/af8625b7e9d1ea30f88710efca4d62e3 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:11:32] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:11:34] "GET /item_detail/5d0d08b079fdeb8a157dffcf514243b6 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:11:35] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:11:35] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:11:35] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:11:46] "GET /item_detail/af8625b7e9d1ea30f88710efca4d62e3 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:11:46] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:11:46] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:11:46] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:11:47] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:25] "GET /list_item?category=lego HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:25] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:25] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:25] "GET /static/img/thumbs/square/f6bf7c43c5a926f9b0683b02e53057f8ee66508c.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/db5d955a9ec60402b8b4180505b5391e9d80399d.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/6d78fe3de0beee2cb409e5edd8a5d4302eaee009.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/0fa9d93ac1f08e6b3ba0c571293fb491194375d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/a69a0f3b8854591daf7a3a68f6de8610fe8769d8.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/22e61da9a98c60e59f82ea5670e1667a95be43fc.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/e85d7befaa2cd68f75a653852c244a8ab92929e7.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/2e089f851ac4ec949bf4010c9b20a75ea711f620.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:13:26] "GET /static/img/thumbs/square/a1f211e007cabd14d70478a545a9057af4ea3375.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/c47ed006c0e0beffa2c30b49977f019f419f3012.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/f925eaad195d1a135b43dc85ee9bbb361b560dc0.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/1b6381103e3a926d5cb6fce2b8238d9f88777070.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/2a73b3c3bde7e2613d447d9aed1d7fc31c4a8c5e.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/c97de6734e2a05863155c2e891d8e2000274eb87.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/739931b9feaa89452be76a1fa7c68f53404e21be.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/8396b80e83f728b379cc0093ee56efb2c21ddaf5.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/35d19bef7d0739228035cedfe161044e0dfb3260.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:13:27] "GET /static/img/thumbs/square/a05a3fbbf321b94b70e08a94b2ddea2e3d401935.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 16:13:44] "GET /item_detail/c87975265c4905c422c3d976838e9f3a HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/img/thumbs/big/f6bf7c43c5a926f9b0683b02e53057f8ee66508c.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/img/thumbs/big/c4cf519d20a867bb4ad229d97cbc73d2c2ee50ae.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/img/thumbs/big/a92e8d0e5739081a5a65da41ced6654bc420f4b8.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/img/thumbs/big/ca0de27607e5fff5bd5f2407cf1f2a238d6e4466.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/img/thumbs/big/46c58bd6451897fa213394289831612ffd274940.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/img/thumbs/big/1fb291ae863689ee1cced276614b0303ea617b18.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:45] "GET /static/img/thumbs/big/fc6df20a169f00e7dfa68289afb9b55897ae2744.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:46] "GET /static/img/thumbs/big/221af5aba5327a6d1d4c0c2adf58a32b088110ac.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:46] "GET /static/img/thumbs/big/53ff001f27b5836580e4b59d59208f7e6273fcc5.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:46] "GET /static/img/thumbs/big/25b8d41e6c075662698627d7b9570a013f40a258.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 16:13:46] "GET /static/img/thumbs/big/7bd7446f1331f4a9281214bb3416c0368263f97e.jpg HTTP/1.1" 200 -
